Grade,Subject,Chapter No.,Chapter,Part No.,Content_Title,Duration,youtube_link
Class 6,गणित,2,पूर्ण संख्याएँ,2,प्रश्नावली 2.1 ( प्रश्न संख्या 1 से 8 तक),1753,www.youtube.com/embed/bTZvS_5QmBM
Class 6,गणित,2,पूर्ण संख्याएँ,3,पूर्ण संख्याओं के गुण,2497,www.youtube.com/embed/xFewMT0cvAI
Class 6,गणित,2,पूर्ण संख्याएँ,4,उदाहरण ( 1 से 4 तक ),794,www.youtube.com/embed/BS4E68FlyWc
Class 6,गणित,2,पूर्ण संख्याएँ,5,उदाहरण ( 5 से 7 तक ),792,www.youtube.com/embed/d9_4rEgxbMg
Class 6,गणित,2,पूर्ण संख्याएँ,6,प्रश्नावली 2.2 ( प्रश्न संख्या 1 व 2 ),1104,www.youtube.com/embed/xKE5R5RfRD8
Class 6,गणित,2,पूर्ण संख्याएँ,7,प्रश्नावली 2.2 ( प्रश्न संख्या 3 व 4 ),1299,www.youtube.com/embed/EuyuiGYug7w
Class 6,गणित,2,पूर्ण संख्याएँ,8,प्रश्नावली 2.2 ( प्रश्न संख्या 5 से 7 ),717,www.youtube.com/embed/NUWfVlG0IIo
Class 6,गणित,2,पूर्ण संख्याएँ,9,संख्या 0 व 1 पर चर्चा,898,www.youtube.com/embed/-dUOfXcY96
Class 6,गणित,2,पूर्ण संख्याएँ,10,पूर्ण संख्याओं में प्रतिरूप,2247,www.youtube.com/embed/4HRn4ibiiOE
Class 6,गणित,2,पूर्ण संख्याएँ,11,प्रतिरूपों को देखना,839,www.youtube.com/embed/QPMAx2O1LYQ
Class 6,गणित,2,पूर्ण संख्याएँ,12,प्रश्नावली 2.3 ( प्रश्न संख्या 1 से 3 ),866,www.youtube.com/embed/Mq2eYrGHsvw
Class 6,गणित,2,पूर्ण संख्याएँ,13,प्रश्नावली 2.3 ( प्रश्न संख्या 4 व 5 ),1590,www.youtube.com/embed/Mq2eYrGHsvw
Class 6,गणित,3,संख्याओं के साथ खेलना,1,गुणनखंड और गुणज,1596,www.youtube.com/embed/Qr3zcrQOM0g
Class 6,गणित,3,संख्याओं के साथ खेलना,2,सम्पूर्ण संख्या व उदाहरण ( 1 से 3 ),1270,www.youtube.com/embed/VU3eJeeIrpQ
Class 6,गणित,3,संख्याओं के साथ खेलना,3,प्रश्नावली 3.1 ( प्रश्न संख्या 1 ),1084,www.youtube.com/embed/yBUftUSkOeA
Class 6,गणित,3,संख्याओं के साथ खेलना,4,प्रश्नावली 3.1 ( प्रश्न संख्या 2 से 4 ),898,www.youtube.com/embed/93ip0bUl9nM
Class 6,गणित,3,संख्याओं के साथ खेलना,5,अभाज्य और भाज्य संख्याएँ,1439,www.youtube.com/embed/NHffLq1Mkok
Class 6,गणित,3,संख्याओं के साथ खेलना,6,प्रश्नावली 3.2 ( प्रश्न संख्या 1 व 2 ),1527,www.youtube.com/embed/OPxLT3LkhsM
Class 6,गणित,3,संख्याओं के साथ खेलना,7,प्रश्नावली 3.2 ( प्रश्न संख्या 3 से 5 ),1213,www.youtube.com/embed/HVrYZWtN4Qk
Class 6,गणित,3,संख्याओं के साथ खेलना,8,प्रश्नावली 3.2 ( प्रश्न संख्या 6 से 9 ),1139,www.youtube.com/embed/h0kystJYwnk
Class 6,गणित,3,संख्याओं के साथ खेलना,9,प्रश्नावली 3.2 ( प्रश्न संख्या 10 से 12 ),1038,www.youtube.com/embed/617sSODYcP8
Class 6,गणित,3,संख्याओं के साथ खेलना,10,विभाज्यता की जाँच,1630,www.youtube.com/embed/MvPrcQm5aCY
